city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Bulankulama,8.16667,80.51667,Sri Lanka,LK,North Central,,,,Anuradhapura
Bulathgama,6.6714,80.6814,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bulathkohupitiya,7.1032,80.3344,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bulathwalakanda,6.9451,80.4799,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bulathwalgoda,6.634,80.5292,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bulathwatta,6.9278,81.0943,Sri Lanka,LK,Uva,,,,Badulla
Bulathwatta,6.927,81.3436,Sri Lanka,LK,Uva,,,,Moneragala
Bulatwatta,6.9102,80.501,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bulatwelkanda,6.3117,80.7562,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bulatwelkandura,7.33333,80.96667,Sri Lanka,LK,Central,,,,Kandy
Bullyadda,6.9889,80.9667,Sri Lanka,LK,Uva,,,,Badulla
Bulnewa,8.017,80.3212,Sri Lanka,LK,North Western,,,,Kurunegala
Bulnewa,8.1243,80.4107,Sri Lanka,LK,North Central,,,,Anuradhapura
Buluewa,7.994,80.4059,Sri Lanka,LK,North Western,,,,Kurunegala
Bulugaha Agara,7.6011,80.0151,Sri Lanka,LK,North Western,,,,Kurunegala
Bulugahalanda,7.43333,81.1,Sri Lanka,LK,Uva,,,,Badulla
Bulugahapitiya,7.1235,80.7664,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bulugahapitiya,6.8464,80.2537,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bulugahawela,7.1974,81.0981,Sri Lanka,LK,Uva,,,,Badulla
Bulugahayaya,7.2176,81.1746,Sri Lanka,LK,Uva,,,,Badulla
Bulugammana,7.1954,80.4426,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bulugolla,7.106,80.8743,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bulukohotenna,7.3749,80.6033,Sri Lanka,LK,Central,,,,Kandy
Bulumulla,7.26667,80.56667,Sri Lanka,LK,Central,,,,Kandy
Bulunewa,7.85306,80.20944,Sri Lanka,LK,North Western,,,,Kurunegala
Bulupethawewa,8.6174,80.4832,Sri Lanka,LK,North Central,,,,Anuradhapura
Bulupitigama,7.9794,80.1034,Sri Lanka,LK,North Western,,,,Puttalam
Bulupitiya,7.4627,80.2833,Sri Lanka,LK,North Western,,,,Kurunegala
Bulupitiya,7.25,81.33333,Sri Lanka,LK,Uva,,,,Moneragala
Buluruppa,7.2266,80.3476,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bulutota,6.4357,80.6488,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Buluvela,6.5328,80.6921,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Buluwala,7.4873,80.4676,Sri Lanka,LK,North Western,,,,Kurunegala
Buluwalakanda,7.4811,80.4927,Sri Lanka,LK,North Western,,,,Kurunegala
Bundala Levagamgoda,6.1973,81.2549,Sri Lanka,LK,Southern,,,,Hambantota
Bundala Wellagangoda,6.1899,81.267,Sri Lanka,LK,Southern,,,,Hambantota
Bungiriya,6.5596,80.5631,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bunnehepola,7.4905,79.9476,Sri Lanka,LK,North Western,,,,Kurunegala
Bunnehepola,7.4805,79.9548,Sri Lanka,LK,North Western,,,,Kurunegala
Bunnehepola Tabboagare,7.5,79.95,Sri Lanka,LK,North Western,,,,Kurunegala
Burunnawa,7.2192,80.2408,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Burusegoda,7.3436,80.2169,Sri Lanka,LK,North Western,,,,Kurunegala
Burutagolla,7.4,81.63333,Sri Lanka,LK,Eastern,,,,Ampara
Buruthaathagoda,7.138,81.1794,Sri Lanka,LK,Uva,,,,Moneragala
Buruthaparagama,6.7236,81.2179,Sri Lanka,LK,Uva,,,,Moneragala
Busdulla,6.9452,80.8859,Sri Lanka,LK,Uva,,,,Badulla
Busnapahuwa,7.3346,80.2103,Sri Lanka,LK,North Western,,,,Kurunegala
Butagolla,6.86667,81.35,Sri Lanka,LK,Uva,,,,Moneragala
Butalanda,7.36667,80.88333,Sri Lanka,LK,Central,,,,Kandy
Butgomuwa,7.26667,80.2,Sri Lanka,LK,North Western,,,,Kurunegala
Buthsaranapitiya,6.8944,81.3018,Sri Lanka,LK,Uva,,,,Moneragala
Butkanda,6.3761,80.6782,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Buttala,6.7608,81.2488,Sri Lanka,LK,Uva,,,,Moneragala
Buweliara,6.2133,80.8372,Sri Lanka,LK,Southern,,,,Hambantota
Buwelikada,7.2956,80.6521,Sri Lanka,LK,Central,,,,Kandy
Buwelikada,7.2159,80.5679,Sri Lanka,LK,Central,,,,Kandy
Buwellegoda,6.1925,80.6883,Sri Lanka,LK,Southern,,,,Hambantota
Cambel Colony,7.3987,80.7106,Sri Lanka,LK,Central,,,,Kandy
Campion,6.7903,80.6987,Sri Lanka,LK,Central,,,,Nuwara Eliya
Carron Watta,7.2954,79.9064,Sri Lanka,LK,North Western,,,,Puttalam
Cashew,8.7053,79.9966,Sri Lanka,LK,Northern,,,,Mannar
Cement Factory,7.98333,79.86667,Sri Lanka,LK,North Western,,,,Puttalam
Chadayantalawa,7.36667,81.73333,Sri Lanka,LK,Eastern,,,,Ampara
Chalampaikulam,8.91667,80.03333,Sri Lanka,LK,Northern,,,,Mannar
Chalampakeni,7.41667,81.75,Sri Lanka,LK,Eastern,,,,Ampara
Chalampan,8.95,80.03333,Sri Lanka,LK,Northern,,,,Mannar
Chalampan,8.81667,79.96667,Sri Lanka,LK,Northern,,,,Mannar
Challi,8.61667,81.21667,Sri Lanka,LK,Eastern,,,,Trincomalee
Challitivu,8.11667,81.45,Sri Lanka,LK,North Central,,,,
Chamalankulam,8.9344,80.5774,Sri Lanka,LK,Northern,,,,Vavuniya
Chamilpura,6.6486,79.9648,Sri Lanka,LK,Western,,,,Kalutara
